,Rank,City,Population
0,1,Columbus,"878,553"
1,2,Cleveland,"385,282"
2,3,Cincinnati,"301,394"
3,4,Toledo,"276,614"
4,5,Akron,"198,051"
5,6,Dayton,"140,569"
6,7,Parma,"79,091"
7,8,Canton,"71,243"
8,9,Youngstown,"64,783"
9,10,Lorain,"63,801"
10,11,Hamilton,"62,182"
11,12,Springfield,"59,132"
12,13,Kettering,"55,390"
13,14,Elyria,"53,821"
14,15,Lakewood,"50,259"
15,16,Newark,"49,470"
16,17,Cuyahoga Falls,"49,192"
17,18,Middletown,"48,621"
18,19,Euclid,"47,159"
19,20,Mentor,"47,096"
20,21,Beavercreek,"46,942"
21,22,Mansfield,"46,576"
22,23,Dublin,"46,499"
23,24,Strongsville,"44,719"
24,25,Cleveland Heights,"44,571"
25,26,Fairfield,"42,634"
26,27,Findlay,"41,335"
27,28,Grove City,"40,797"
28,29,Delaware,"40,568"
29,30,Lancaster,"40,159"
30,31,Huber Heights,"40,006"
31,32,Westerville,"39,877"
32,33,Warren,"39,307"
33,34,Reynoldsburg,"38,129"
34,35,Lima,"37,117"
35,36,Hilliard,"36,411"
36,37,Marion,"36,188"
37,38,Upper Arlington,"35,299"
38,39,Gahanna,"35,268"
39,40,Brunswick,"34,781"
40,41,Stow,"34,776"
41,42,Boardman,"34,431"
42,43,Fairborn,"33,462"
43,44,North Ridgeville,"33,427"
44,45,Mason,"33,224"
45,46,Massillon,"32,415"
46,47,Westlake,"32,275"
47,48,North Olmsted,"31,710"
48,49,Bowling Green,"31,526"
49,50,North Royalton,"30,252"
50,51,Kent,"29,811"
51,52,Austintown,"28,488"
52,53,Garfield Heights,"27,814"
53,54,Shaker Heights,"27,387"
54,55,Wooster,"26,673"
55,56,Xenia,"26,534"
56,57,Barberton,"26,098"
57,58,Medina,"26,095"
58,59,Troy,"25,961"
59,60,Green,"25,760"
60,61,Zanesville,"25,200"
61,62,Riverside,"25,093"
62,63,Athens,"24,984"
63,64,Sandusky,"24,829"
64,65,Trotwood,"24,375"
65,66,Avon Lake,"24,030"
66,67,Marysville,"23,808"
67,68,Centerville,"23,796"
68,69,Wadsworth,"23,426"
69,70,Avon,"22,999"
70,71,Solon,"22,947"
71,72,Willoughby,"22,869"
72,73,Oxford,"22,700"
73,74,Maple Heights,"22,383"
74,75,Hudson,"22,263"
75,76,Alliance,"21,842"
76,77,Chillicothe,"21,719"
77,78,South Euclid,"21,572"
78,79,Perrysburg,"21,482"
79,80,Piqua,"21,028"
80,81,Lebanon,"20,642"
81,82,Pickerington,"20,631"
82,83,Sidney,"20,590"
83,84,Ashland,"20,390"
84,85,Portsmouth,"20,311"
85,86,Rocky River,"20,198"
86,87,Parma Heights,"20,045"
87,88,Oregon,"20,017"
88,89,Miamisburg,"19,993"
89,90,Norwood,"19,883"
90,91,Painesville,"19,845"
91,92,White Oak,"19,271"
92,93,Broadview Heights,"19,195"
93,94,Sylvania,"19,143"
94,95,Whitehall,"18,915"
95,96,Berea,"18,788"
96,97,Twinsburg,"18,707"
97,98,Mayfield Heights,"18,669"
98,99,Forest Park,"18,657"
99,100,Brook Park,"18,617"
100,101,Niles,"18,468"
101,102,Springboro,"18,196"
102,103,Ashtabula,"18,171"
103,104,Eastlake,"18,156"
104,105,Steubenville,"17,988"
105,106,Tallmadge,"17,589"
106,107,Tiffin,"17,577"
107,108,New Philadelphia,"17,446"
108,109,North Canton,"17,277"
109,110,East Cleveland,"17,200"
110,111,Defiance,"16,990"
111,112,Norwalk,"16,857"
112,113,Mount Vernon,"16,667"
113,114,Streetsboro,"16,406"
